Platform,Profiler,Benchmark Suite,Suite,Workload,benchmark_name,execution_time (microseconds),exp_name,peak_memory_kb (KB),read_freq (accesses/us),read_size,total_reads (count),total_reads_d,total_reads_i,total_writes (count),total_writes_d,total_writes_i,workingset_size (count),write_freq (accesses/us),write_size
CPU,DynamoRIO,spec2017,fprate,alberta_both/blender/both,,1403900703.0,DynamoRIOProfilers,885360.0,1.6860692297836966,8,2367073777.0,1,1,1082079646.0,1,1,4330435.0,0.7707665105428756,8
CPU,DynamoRIO,spec2017,fprate,alberta_both/bwaves/both,,2968917531.0,DynamoRIOProfilers,2746092.0,1.4543413294291332,8,4317819469.0,1,1,821678968.0,1,1,14405842.0,0.27676045542539524,8
CPU,DynamoRIO,spec2017,fprate,alberta_both/bwaves/both,,2920084671.0,DynamoRIOProfilers,2705228.0,1.480235706836461,8,4322413597.0,1,1,816525081.0,1,1,14174063.0,0.2796237688273526,8
CPU,DynamoRIO,spec2017,fprate,alberta_both/bwaves/both,,2987913793.0,DynamoRIOProfilers,2746348.0,1.4450879292821686,8,4317798156.0,1,1,821674896.0,1,1,14405532.0,0.2749995324245956,8
CPU,DynamoRIO,spec2017,fprate,alberta_both/bwaves/both,,2990431339.0,DynamoRIOProfilers,2532956.0,1.4500857733955148,8,4336381941.0,1,1,808949151.0,1,1,13217249.0,0.2705125312358827,8
CPU,DynamoRIO,spec2017,fprate,alberta_both/cactuBSSN/both,,2403339026.0,DynamoRIOProfilers,2059068.0,1.630907839716493,8,3919624459.0,1,1,1119530485.0,1,1,9751977.0,0.4658229541852411,8
CPU,DynamoRIO,spec2017,fprate,alberta_both/cam4/both,,1051392277.0,DynamoRIOProfilers,2105084.0,1.9197301883928524,4,2018389494.0,1,1,468002087.0,1,1,10486948.0,0.44512604594678795,1
CPU,DynamoRIO,spec2017,fprate,alberta_both/fotonik3d/both,,1362594527.0,DynamoRIOProfilers,135928.0,1.6483705845678918,8,2246060737.0,1,1,1495599140.0,1,1,381611.0,1.0976112925485133,8
CPU,DynamoRIO,spec2017,fprate,alberta_both/imagick/both,,736605487.0,DynamoRIOProfilers,165340.0,2.6590623618311438,2,1958679926.0,1,1,167264361.0,1,1,747490.0,0.22707455205258334,8
CPU,DynamoRIO,spec2017,fprate,alberta_both/lbm/both,,2239727206.0,DynamoRIOProfilers,1659984.0,1.2923945676266433,8,2894611274.0,1,1,1614410689.0,1,1,6702413.0,0.72080683963438,8
CPU,DynamoRIO,spec2017,fprate,alberta_both/nab/both,,1381865420.0,DynamoRIOProfilers,358308.0,1.7928805483822006,8,2477519632.0,1,1,1059137552.0,1,1,1862557.0,0.7664549214930062,8
